Date|Value
2016-11-01|0.046
2016-12-01|0.047
2017-01-01|0.048
2017-02-01|0.047
2017-03-01|0.045
2017-04-01|0.044
2017-05-01|0.043
2017-06-01|0.044
2017-07-01|0.043
2017-08-01|0.044
2017-09-01|0.042
2017-10-01|0.041
2017-11-01|0.041
2017-12-01|0.041
2018-01-01|0.041
2018-02-01|0.041
2018-03-01|0.041
2018-04-01|0.039
2018-05-01|0.038
2018-06-01|0.04
2018-07-01|0.039
2018-08-01|0.039
2018-09-01|0.037
2018-10-01|0.037
2018-11-01|0.037
2018-12-01|0.039
2019-01-01|0.04
2019-02-01|0.038
2019-03-01|0.038
2019-04-01|0.036
2019-05-01|0.036
2019-06-01|0.037
2019-07-01|0.037
2019-08-01|0.037
2019-09-01|0.035
2019-10-01|0.036
2019-11-01|0.035
2019-12-01|0.035
2020-01-01|0.036
2020-02-01|0.035
2020-03-01|0.044
2020-04-01|0.147
2020-05-01|0.133
2020-06-01|0.111
2020-07-01|0.102
2020-08-01|0.084
2020-09-01|0.079
2020-10-01|0.069
2020-11-01|0.067
2020-12-01|0.067
2021-01-01|0.063
2021-02-01|0.062
2021-03-01|0.06
2021-04-01|0.061
2021-05-01|0.058
2021-06-01|0.059
2021-07-01|0.054
2021-08-01|0.052
2021-09-01|0.048
2021-10-01|0.046
2021-11-01|0.042
2021-12-01|0.039
2022-01-01|0.04
2022-02-01|0.038
2022-03-01|0.036
2022-04-01|0.036
2022-05-01|0.036
2022-06-01|0.036
2022-07-01|0.035
2022-08-01|0.037
2022-09-01|0.035
2022-10-01|0.037
2022-11-01|0.037
2022-12-01|0.035
2023-01-01|0.034
2023-02-01|0.036
2023-03-01|0.035
