Date|Close|Open|High|Low|Volume|Change
2020-07-30|484.57|485.5|488.44|483.88||-0.19%
2020-07-31|488.12|484.57|491.84|480.55||0.73%
2020-08-03|496.28|488.12|496.28|488.12||1.67%
2020-08-04|497.52|496.28|500.34|494.54||0.25%
2020-08-05|498.59|497.51|499.4|491.8||0.22%
2020-08-06|499.94|498.58|501.11|491.97||0.27%
2020-08-07|495.43|499.94|499.94|488.34||-0.90%
2020-08-10|498.34|495.43|501.7|492.02||0.59%
2020-08-11|492.74|498.34|503.37|492.09||-1.12%
2020-08-12|489.25|492.74|492.74|480.76||-0.71%
2020-08-13|489.48|489.25|492.03|487.79||0.05%
2020-08-14|495.46|489.48|495.78|487.1||1.22%
2020-08-17|506.83|495.46|509.27|495.46||2.29%
2020-08-18|508.24|506.83|509.43|505.66||0.28%
2020-08-19|501.75|508.24|508.86|501.47||-1.28%
2020-08-20|495.28|501.75|501.75|493.64||-1.29%
2020-08-21|497.92|495.28|499.97|494.29||0.53%
2020-08-24|499.36|497.92|501.2|496.86||0.29%
2020-08-25|497.88|499.36|503.23|496.41||-0.30%
2020-08-26|491.59|497.88|499.68|490.01||-1.26%
2020-08-27|494.36|491.59|494.48|488.96||0.56%
2020-08-28|503.83|494.36|504.19|493.19||1.92%
2020-08-31|502.63|503.83|510.37|502.62||-0.24%
2020-09-01|504.85|502.63|504.85|500.44||0.44%
2020-09-02|503.93|504.85|506.75|499.49||-0.18%
2020-09-03|501.09|503.93|507.55|499.39||-0.56%
2020-09-04|496.58|501.09|501.09|492.66||-0.90%
2020-09-07|487.65|496.58|499.19|486.37||-1.80%
2020-09-08|491.48|487.65|492.58|485.43||0.79%
2020-09-09|482.36|491.49|491.49|479.9||-1.86%
2020-09-10|479.81|482.36|487.32|478.81||-0.53%
2020-09-11|483.48|479.81|483.86|477.67||0.76%
2020-09-14|486.46|483.47|487.45|483.47||0.62%
2020-09-15|489.58|486.46|489.86|484.24||0.64%
2020-09-16|487.43|489.58|490.56|485.51||-0.44%
2020-09-17|484.81|487.42|487.97|481.78||-0.54%
2020-09-18|495.38|484.81|495.42|484.71||2.18%
2020-09-21|491.92|495.38|497.31|491.44||-0.70%
2020-09-22|485.29|491.93|492.63|483.94||-1.35%
2020-09-23|486.3|485.29|487.69|483.98||0.21%
2020-09-24|476.93|486.31|486.31|476.79||-1.93%
2020-09-25|477|476.93|479.85|475.25||0.01%
2020-09-28|476.86|477.01|480.37|475.89||-0.03%
2020-09-29|477.34|476.86|480.38|476.86||0.10%
2020-09-30|476.17|477.34|480.65|473.8||-0.25%
2020-10-01|476.17|477.34|480.65|473.8||0.00%
2020-10-02|476.17|477.34|480.65|473.8||0.00%
2020-10-05|476.17|477.34|480.65|473.8||0.00%
2020-10-06|476.17|477.34|480.65|473.8||0.00%
2020-10-07|476.17|477.34|480.65|473.8||0.00%
2020-10-08|476.17|477.34|480.65|473.8||0.00%
2020-10-09|484.93|476.17|486.15|476.17||1.84%
2020-10-12|498.67|484.92|498.73|484.92||2.83%
2020-10-13|499|498.67|499.5|495.29||0.07%
2020-10-14|496.12|499|499|495.17||-0.58%
2020-10-15|494.75|496.11|498.07|494.39||-0.28%
2020-10-16|495.16|494.75|497.52|492.69||0.08%
2020-10-19|491.18|495.16|500.75|490.39||-0.80%
2020-10-20|493.7|491.18|493.71|488.7||0.51%
2020-10-21|493.18|493.7|494.52|490.2||-0.11%
2020-10-22|491.75|493.18|493.18|486.84||-0.29%
2020-10-23|486.83|491.76|494.06|486.61||-1.00%
2020-10-26|482.39|486.83|486.83|479.03||-0.91%
2020-10-27|482.26|482.39|482.94|479.41||-0.03%
2020-10-28|484.32|482.26|485.46|479.89||0.43%
2020-10-29|485.39|484.32|488.11|478.6||0.22%
2020-10-30|478.1|485.39|486.48|477.19||-1.50%
2020-11-02|477.98|478.11|480.83|475.82||-0.03%
2020-11-03|484.96|477.98|486.47|477.98||1.46%
2020-11-04|487|484.96|488.08|482.97||0.42%
2020-11-05|494.08|486.99|494.13|486.99||1.45%
2020-11-06|493.13|494.08|495.14|489.94||-0.19%
2020-11-09|502.23|493.13|503.51|493.13||1.85%
2020-11-10|500.43|502.24|504.22|498.4||-0.36%
2020-11-11|497.93|500.43|501.51|497.54||-0.50%
2020-11-12|497.45|497.94|499.25|496.05||-0.10%
2020-11-13|492.23|497.45|497.45|489.28||-1.05%
2020-11-16|498.43|492.23|498.43|492.23||1.26%
2020-11-17|497.79|498.43|498.69|495.3||-0.13%
2020-11-18|499.03|497.79|500.96|496.85||0.25%
2020-11-19|501.46|499.03|502.21|496.26||0.49%
2020-11-20|503.92|501.46|504.28|500.44||0.49%
2020-11-23|510.39|503.92|513.08|503.92||1.28%
2020-11-24|508.3|510.4|510.4|507.16||-0.41%
2020-11-25|501.76|508.3|511.21|501.76||-1.29%
2020-11-26|503.47|501.76|503.61|499.02||0.34%
2020-11-27|508.67|503.47|508.67|502.18||1.03%
2020-11-30|505.84|508.67|516.3|505.84||-0.56%
2020-12-01|515.74|505.84|516.46|505.5||1.96%
2020-12-02|515.67|515.74|518.17|513.58||-0.01%
2020-12-03|514.45|515.67|516.01|512.26||-0.24%
2020-12-04|515.45|514.45|515.86|510.68||0.19%
2020-12-07|511.04|515.45|516.2|510.42||-0.86%
2020-12-08|510.12|511.04|513.08|508.92||-0.18%
2020-12-09|504.25|510.12|512.17|504.25||-1.15%
2020-12-10|504.26|504.26|506.13|502.04||0.00%
2020-12-11|498.78|504.26|505.87|495.58||-1.09%
2020-12-14|503.32|498.78|503.56|498.23||0.91%
2020-12-15|503.48|503.33|504.41|500.3||0.03%
2020-12-16|504.07|503.48|505.58|502.51||0.12%
2020-12-17|510.4|504.07|510.7|502.58||1.26%
2020-12-18|508.46|510.4|511.75|506.46||-0.38%
2020-12-21|512.45|508.46|513|506.27||0.78%
2020-12-22|503.23|512.45|512.45|502.74||-1.80%
2020-12-23|507.37|503.23|509.4|503.23||0.82%
2020-12-24|504.67|507.37|509.36|503.18||-0.53%
2020-12-25|510.14|504.67|510.22|502.47||1.08%
2020-12-28|510.78|510.15|513.31|508.76||0.13%
2020-12-29|507.93|510.78|512.41|507.58||-0.56%
2020-12-30|514.3|507.93|514.3|507.55||1.25%
2020-12-31|523.42|514.3|523.76|514.3||1.77%
2021-01-01|523.42|514.3|523.76|514.3||0.00%
2021-01-04|527.84|523.42|529.43|520.95||0.84%
2021-01-05|532.52|527.84|532.52|525.11||0.89%
2021-01-06|535.88|532.52|536.93|529.33||0.63%
2021-01-07|541.58|535.88|541.58|533.35||1.06%
2021-01-08|540.32|541.59|543.82|535.97||-0.23%
2021-01-11|534.55|540.32|545.26|532.38||-1.07%
2021-01-12|547.46|534.55|547.46|532.34||2.42%
2021-01-13|544.36|547.45|549.81|540.75||-0.57%
2021-01-14|537.14|544.36|544.36|536.09||-1.33%
2021-01-15|537.32|537.14|541.45|532.16||0.03%
2021-01-18|542.74|537.32|544.82|534.31||1.01%
2021-01-19|538.02|542.74|544.19|535.93||-0.87%
2021-01-20|540.39|538.02|541.96|536.66||0.44%
2021-01-21|546.9|540.39|549.62|540.39||1.20%
2021-01-22|545.47|546.9|547.19|542.12||-0.26%
2021-01-25|548.88|545.47|550.88|543.31||0.63%
2021-01-26|539.29|548.88|548.88|538.43||-1.75%
2021-01-27|540.44|539.28|541.03|535.43||0.21%
2021-01-28|529.38|540.45|540.45|527.95||-2.05%
2021-01-29|525.25|529.37|533.4|519.49||-0.78%
2021-02-01|529.65|525.24|529.78|523.33||0.84%
2021-02-02|534.34|529.65|534.6|528.03||0.89%
2021-02-03|533.18|534.34|537.04|530.99||-0.22%
2021-02-04|531.44|533.18|535.32|525.75||-0.33%
2021-02-05|531.33|531.45|537.08|530.75||-0.02%
2021-02-08|537.9|531.33|539.21|530.9||1.24%
2021-02-09|548.8|537.9|548.84|536.99||2.03%
2021-02-10|556.76|548.8|558.12|548.8||1.45%
2021-02-11|556.76|548.8|558.12|548.8||0.00%
2021-02-12|556.76|548.8|558.12|548.8||0.00%
2021-02-15|556.76|548.8|558.12|548.8||0.00%
2021-02-16|556.76|548.8|558.12|548.8||0.00%
2021-02-17|556.76|548.8|558.12|548.8||0.00%
2021-02-18|560.17|556.77|568.67|556.77||0.61%
2021-02-19|563.12|560.18|563.79|553.44||0.53%
2021-02-22|552.77|563.12|566.2|552.77||-1.84%
2021-02-23|552.46|552.77|558.17|548.89||-0.06%
2021-02-24|540.64|552.46|553.97|535.56||-2.14%
2021-02-25|544.01|540.64|548.1|540.64||0.62%
2021-02-26|531.46|544.01|544.01|530.37||-2.31%
2021-03-01|538.29|531.46|538.52|531.46||1.29%
2021-03-02|530.94|538.29|540.75|527.25||-1.37%
2021-03-03|542.4|530.94|542.57|529.58||2.16%
2021-03-04|529.86|542.4|542.4|527.23||-2.31%
2021-03-05|527.95|529.86|531.65|521.03||-0.36%
2021-03-08|514.26|527.95|534.13|514.25||-2.59%
2021-03-09|504.55|514.27|515.78|499.58||-1.89%
2021-03-10|505.22|504.55|510.8|504.33||0.13%
2021-03-11|518.66|505.22|518.67|505.22||2.66%
2021-03-12|521.15|518.66|521.36|515.5||0.48%
2021-03-15|515|521.15|521.57|510.8||-1.18%
2021-03-16|518.93|515|519.75|512.58||0.76%
2021-03-17|518.61|518.93|520.43|512.98||-0.06%
2021-03-18|521.47|518.61|523.65|518.61||0.55%
2021-03-19|511.65|521.47|521.47|509.21||-1.88%
2021-03-22|517.7|511.65|518.03|511.65||1.18%
2021-03-23|512.64|517.7|517.89|509.07||-0.98%
2021-03-24|504.46|512.64|513.29|503.71||-1.60%
2021-03-25|504.05|504.46|506.77|501.11||-0.08%
