Date|Close|Open|High|Low|Volume|Change
2021-02-23|2,927.53|2,922.85|2,953.48|2,891.33|76.70M|-0.28%
2021-02-24|2,867.56|2,926.38|2,959.03|2,865.77|105.87M|-2.05%
2021-02-25|2,979.92|2,903.44|2,980.06|2,903.44|90.64M|3.92%
2021-02-26|2,885.52|2,971.03|2,971.03|2,864.62|123.57M|-3.17%
2021-03-02|2,927.33|2,892.85|2,980.96|2,892.85|99.89M|1.45%
2021-03-03|2,965.02|2,925.61|2,965.02|2,907.49|64.59M|1.29%
2021-03-04|2,919.45|2,957.21|2,957.21|2,900.78|92.49M|-1.54%
2021-03-05|2,902.66|2,913.63|2,916.38|2,860.09|84.42M|-0.58%
2021-03-08|2,875.99|2,908.83|2,934.28|2,871.48|75.24M|-0.92%
2021-03-09|2,860.04|2,868.27|2,876.10|2,811.52|100.66M|-0.55%
2021-03-10|2,843.17|2,864.48|2,899.41|2,835.65|69.09M|-0.59%
2021-03-11|2,901.63|2,850.06|2,918.08|2,850.06|81.55M|2.06%
2021-03-12|2,933.75|2,920.81|2,950.23|2,920.38|56.04M|1.11%
2021-03-15|2,917.24|2,937.13|2,944.62|2,916.09|52.76M|-0.56%
2021-03-16|2,933.85|2,921.23|2,939.04|2,915.89|59.69M|0.57%
2021-03-17|2,904.88|2,933.60|2,934.66|2,887.32|52.39M|-0.99%
2021-03-18|2,930.61|2,911.96|2,958.44|2,911.96|71.22M|0.89%
2021-03-19|2,895.91|2,929.15|2,929.15|2,883.54|66.06M|-1.18%
2021-03-22|2,890.79|2,896.02|2,904.76|2,874.57|65.99M|-0.18%
2021-03-23|2,862.09|2,892.43|2,913.50|2,859.95|61.42M|-0.99%
2021-03-24|2,850.10|2,852.73|2,860.86|2,830.46|56.39M|-0.42%
2021-03-25|2,858.63|2,849.73|2,877.51|2,838.32|55.89M|0.30%
2021-03-26|2,884.54|2,863.14|2,885.07|2,856.49|62.62M|0.91%
2021-03-29|2,876.13|2,891.93|2,896.66|2,863.51|54.55M|-0.29%
2021-03-30|2,917.38|2,877.69|2,922.71|2,877.69|57.67M|1.43%
2021-03-31|2,902.81|2,921.21|2,940.97|2,902.81|59.72M|-0.50%
2021-04-01|2,941.97|2,916.40|2,942.48|2,916.40|62.75M|1.35%
2021-04-02|2,975.44|2,963.62|2,984.67|2,963.62|62.84M|1.14%
2021-04-05|2,980.62|2,985.00|2,994.36|2,961.54|60.02M|0.17%
2021-04-06|2,989.14|2,982.79|3,002.50|2,971.86|70.40M|0.29%
2021-04-07|2,993.25|2,992.06|3,006.43|2,980.53|65.84M|0.14%
2021-04-08|2,993.45|2,993.00|2,995.42|2,977.78|68.93M|0.01%
2021-04-09|2,971.86|2,996.61|3,005.87|2,964.37|77.86M|-0.72%
2021-04-12|2,970.84|2,975.04|2,988.90|2,962.86|49.23M|-0.03%
2021-04-13|3,011.36|2,972.25|3,016.39|2,969.86|60.09M|1.36%
2021-04-14|3,022.01|3,011.38|3,029.45|3,006.09|53.08M|0.35%
2021-04-15|3,038.71|3,019.78|3,051.33|3,019.78|79.88M|0.55%
2021-04-16|3,034.47|3,035.91|3,050.37|3,024.36|71.40M|-0.14%
2021-04-19|3,027.19|3,036.96|3,048.27|3,025.74|56.48M|-0.24%
2021-04-20|3,041.58|3,026.69|3,041.64|3,022.98|54.58M|0.48%
2021-04-21|2,979.85|3,032.57|3,032.57|2,975.89|73.80M|-2.03%
2021-04-22|2,982.62|2,982.05|3,005.15|2,980.97|65.31M|0.09%
2021-04-23|2,989.88|2,976.58|2,993.59|2,950.54|69.69M|0.24%
2021-04-26|3,014.78|2,994.30|3,014.78|2,989.90|68.82M|0.83%
2021-04-27|3,013.85|3,015.57|3,019.64|3,002.66|65.63M|-0.03%
2021-04-28|2,979.56|3,014.42|3,016.64|2,975.86|71.91M|-1.14%
2021-04-29|2,972.76|2,984.33|2,999.94|2,965.99|73.94M|-0.23%
2021-04-30|2,940.72|2,974.02|2,974.02|2,936.27|77.09M|-1.08%
2021-05-03|2,935.75|2,941.97|2,974.36|2,927.66|68.90M|-0.17%
2021-05-04|2,963.61|2,940.55|2,963.61|2,925.04|59.08M|0.95%
2021-05-06|2,973.56|2,963.45|2,973.56|2,946.91|75.48M|0.34%
2021-05-07|2,983.00|2,971.71|2,993.61|2,965.61|57.65M|0.32%
2021-05-10|3,025.16|2,986.34|3,033.68|2,986.34|65.12M|1.41%
2021-05-11|2,969.36|3,016.01|3,016.01|2,960.21|89.90M|-1.84%
2021-05-12|2,919.99|2,969.27|2,970.49|2,902.93|102.26M|-1.66%
2021-05-13|2,881.94|2,903.86|2,909.90|2,869.68|104.09M|-1.30%
2021-05-14|2,915.34|2,892.25|2,925.75|2,892.25|57.51M|1.16%
2021-05-17|2,903.03|2,926.78|2,935.00|2,888.84|56.30M|-0.42%
2021-05-18|2,938.01|2,903.00|2,944.30|2,903.00|57.02M|1.20%
2021-05-20|2,927.96|2,941.68|2,941.68|2,912.65|59.47M|-0.34%
2021-05-21|2,935.11|2,937.58|2,972.66|2,925.06|69.03M|0.24%
2021-05-24|2,922.82|2,932.57|2,939.98|2,915.78|57.68M|-0.42%
2021-05-25|2,946.08|2,932.35|2,949.36|2,925.09|54.22M|0.80%
2021-05-26|2,935.18|2,946.91|2,955.55|2,929.43|58.14M|-0.37%
2021-05-27|2,927.50|2,937.79|2,938.90|2,904.76|103.34M|-0.26%
2021-05-28|2,951.06|2,934.10|2,963.10|2,933.03|62.93M|0.80%
2021-05-31|2,964.66|2,953.69|2,965.48|2,940.82|55.90M|0.46%
2021-06-01|2,981.80|2,965.82|2,995.13|2,957.32|56.27M|0.58%
2021-06-02|2,973.25|2,983.71|2,997.73|2,966.60|61.69M|-0.29%
2021-06-03|3,001.78|2,972.93|3,014.30|2,972.93|70.81M|0.96%
2021-06-04|2,989.60|3,000.67|3,000.67|2,967.80|63.71M|-0.41%
2021-06-07|2,994.86|2,994.24|3,017.08|2,979.78|63.88M|0.18%
2021-06-08|2,995.59|2,994.28|3,009.43|2,983.87|56.73M|0.02%
2021-06-09|2,961.05|2,991.20|2,991.20|2,961.05|56.53M|-1.15%
