Date|Close|Open|High|Low|Volume|Change|Value
1996-04-26|964.57|964.64|972.07|959.69|44.15M|-0.01%|0
1996-04-27|968.45|964.53|969.17|964.3|29.74M|0.40%|1
1996-04-29|985.03|968.88|987.09|968.88|58.45M|1.71%|1
1996-04-30|980.9|984.93|991.24|978.04|68.97M|-0.42%|0
1996-05-02|961.52|980.6|980.6|961.5|46.82M|-1.98%|0
1996-05-03|965.67|961.49|967.31|955.17|45.14M|0.43%|1
1996-05-04|964.65|966.8|973.34|964.34|34.18M|-0.11%|0
1996-05-06|974.1|965.27|975.33|965.27|54.86M|0.98%|1
1996-05-07|986.84|975.28|989.86|975.28|63.60M|1.31%|1
1996-05-08|976.75|986.97|992.07|976.75|67.95M|-1.02%|0
1996-05-09|959.14|976.24|976.24|959.14|49.13M|-1.80%|0
1996-05-10|965.83|959.77|965.88|954.16|48.02M|0.70%|1
1996-05-11|970.64|967.41|973.3|964.2|34.59M|0.50%|1
1996-05-13|978.73|970.81|982.47|970.81|56.26M|0.83%|1
1996-05-14|964.11|979.26|982.86|963.93|48.76M|-1.49%|0
1996-05-15|958.17|963.13|965.63|953.63|41.38M|-0.62%|0
1996-05-16|940.96|958.17|958.87|939.99|38.68M|-1.80%|0
1996-05-17|937.51|941.04|945.44|935.53|33.80M|-0.37%|0
1996-05-18|928.8|938.02|943.79|928.8|21.51M|-0.93%|0
1996-05-20|935.07|928.85|935.19|925.55|24.30M|0.68%|1
1996-05-21|919.88|935.03|936.38|919.6|27.82M|-1.62%|0
1996-05-22|924|918.68|924.37|910.53|29.51M|0.45%|1
1996-05-23|918.11|924.9|932.77|917.95|39.97M|-0.64%|0
1996-05-25|911.76|919.54|919.54|910.58|18.92M|-0.69%|0
1996-05-27|920.43|911.45|920.6|903.77|28.26M|0.95%|1
1996-05-28|906.21|920.93|921.28|906.15|25.96M|-1.54%|0
1996-05-29|894.29|905.91|911.67|894.03|29.25M|-1.32%|0
1996-05-30|898.56|893.85|904.02|886.71|24.08M|0.48%|1
1996-05-31|903.09|898.84|909.78|898.74|25.13M|0.50%|1
1996-06-01|907.98|907.24|915.52|906.7|18.06M|0.54%|1
1996-06-03|897.22|904.62|905.92|895.92|21.35M|-1.19%|0
1996-06-04|909.43|898.23|909.56|896.79|21.78M|1.36%|1
1996-06-05|913.25|910.93|916.45|908.46|29.56M|0.42%|1
1996-06-07|907.83|914|917.42|907.83|31.62M|-0.59%|0
1996-06-08|903.32|907.25|909.07|903.32|16.45M|-0.50%|0
1996-06-10|892.17|902.85|907.05|891.48|26.02M|-1.23%|0
1996-06-11|888.66|891.3|898.58|888.66|25.14M|-0.39%|0
1996-06-12|873.31|888.65|892.53|871.91|24.72M|-1.73%|0
1996-06-13|874.68|872.32|876.46|866.56|22.29M|0.16%|1
1996-06-14|862.53|873.25|873.57|862.44|20.01M|-1.39%|0
