Date|Close|Change
2009-06-29|1|0.00%
2009-06-30|1|0.00%
2009-07-01|1.031|3.10%
2009-07-02|1.031|0.00%
2009-07-03|1|-3.01%
2009-07-06|1.05|5.00%
2009-07-07|0.951|-9.43%
2009-07-08|1.08|13.56%
2009-07-09|1.16|7.41%
2009-07-10|1.03|-11.21%
2009-07-13|1.03|0.00%
2009-07-14|1.4|35.92%
2009-07-15|1.2|-14.29%
2009-07-16|1.05|-12.50%
2009-07-17|1.37|30.48%
2009-07-20|1.37|0.00%
2009-07-21|1.37|0.00%
2009-07-22|1.3|-5.11%
2009-07-23|1.37|5.38%
2009-07-24|1.72|25.55%
2009-07-27|1.7|-1.16%
2009-07-28|1.62|-4.71%
2009-07-29|1.75|8.02%
2009-07-30|1.57|-10.29%
2009-07-31|1.75|11.46%
2009-08-03|1.75|0.00%
2009-08-04|1.7|-2.86%
2009-08-05|1.7|0.00%
2009-08-06|1.71|0.59%
2009-08-07|1.61|-5.85%
2009-08-10|1.7|5.59%
2009-08-11|1.7|0.00%
2009-08-12|1.67|-1.76%
2009-08-13|1.7|1.80%
2009-08-14|1.7|0.00%
2009-08-17|1.7|0.00%
2009-08-18|1.7|0.00%
2009-08-19|1.7|0.00%
2009-08-20|1.7|0.00%
2009-08-21|1.7|0.00%
2009-08-24|1.7|0.00%
2009-08-25|1.62|-4.71%
2009-08-26|1.7|4.94%
2009-08-27|1.7|0.00%
2009-08-28|1.7|0.00%
2009-08-31|1.7|0.00%
2009-09-01|1.55|-8.82%
2009-09-02|1.7|9.68%
2009-09-03|1.7|0.00%
2009-09-04|1.7|0.00%
2009-09-07|1.7|0.00%
2009-09-08|1.57|-7.65%
2009-09-09|1.57|0.00%
2009-09-10|1.66|5.73%
2009-09-11|1.7|2.41%
2009-09-14|1.45|-14.71%
2009-09-15|1.6|10.34%
2009-09-16|1.5|-6.25%
2009-09-17|1.55|3.33%
2009-09-18|1.55|0.00%
2009-09-21|1.5|-3.23%
2009-09-22|1.55|3.33%
2009-09-23|1.55|0.00%
2009-09-24|1.57|1.29%
2009-09-25|1.5|-4.46%
2009-09-27|1.55|3.33%
2009-09-28|1.53|-1.29%
2009-09-29|1.53|0.00%
2009-09-30|1.53|0.00%
2009-10-09|1.53|0.00%
2009-10-10|1.51|-1.31%
2009-10-12|1.55|2.65%
2009-10-13|1.5|-3.23%
2009-10-14|1.47|-2.00%
2009-10-15|1.56|6.12%
2009-10-16|1.5|-3.85%
2009-10-19|1.5|0.00%
2009-10-20|1.47|-2.00%
2009-10-21|1.54|4.76%
2009-10-22|1.5|-2.60%
2009-10-23|1.5|0.00%
2009-10-26|1.47|-2.00%
2009-10-27|1.46|-0.68%
2009-10-28|1.46|0.00%
2009-10-29|1.46|0.00%
2009-10-30|1.52|4.11%
2009-11-02|1.52|0.00%
