Date|Close|Change
2011-10-12|0.12|-2.44%
2011-10-13|0.119|-0.83%
2011-10-14|0.122|2.52%
2011-10-17|0.12|-1.64%
2011-10-18|0.124|3.33%
2011-10-19|0.127|2.42%
2011-10-20|0.126|-0.79%
2011-10-21|0.127|0.79%
2011-10-24|0.127|0.00%
2011-10-25|0.127|0.00%
2011-10-26|0.122|-3.94%
2011-10-27|0.123|0.82%
2011-10-28|0.128|4.07%
2011-10-31|0.125|-2.34%
2011-11-01|0.12|-4.00%
2011-11-02|0.119|-0.83%
2011-11-04|0.122|2.52%
2011-11-07|0.12|-1.64%
2011-11-08|0.121|0.83%
2011-11-09|0.123|1.65%
2011-11-10|0.122|-0.81%
2011-11-11|0.121|-0.82%
2011-11-14|0.123|1.65%
2011-11-15|0.124|0.81%
2011-11-16|0.123|-0.81%
2011-11-17|0.12|-2.44%
2011-11-18|0.119|-0.83%
2011-11-21|0.119|0.00%
2011-11-22|0.119|0.00%
2011-11-24|0.121|1.68%
2011-11-25|0.123|1.65%
2011-11-28|0.126|2.44%
2011-11-29|0.124|-1.59%
2011-11-30|0.12|-3.23%
2011-12-01|0.121|0.83%
2011-12-02|0.119|-1.65%
2011-12-05|0.117|-1.68%
2011-12-06|0.119|1.71%
2011-12-07|0.118|-0.84%
2011-12-08|0.118|0.00%
2011-12-09|0.118|0.00%
2011-12-12|0.119|0.85%
2011-12-13|0.115|-3.36%
2011-12-14|0.119|3.48%
2011-12-15|0.118|-0.84%
2011-12-16|0.12|1.69%
2011-12-19|0.119|-0.83%
2011-12-20|0.13|9.24%
2011-12-21|0.13|0.00%
2011-12-22|0.129|-0.77%
2011-12-26|0.13|0.78%
2011-12-27|0.129|-0.77%
2011-12-28|0.13|0.78%
2011-12-29|0.129|-0.77%
2011-12-30|0.129|0.00%
2012-01-04|0.129|0.00%
2012-01-05|0.129|0.00%
2012-01-06|0.126|-2.33%
2012-01-10|0.126|0.00%
2012-01-11|0.125|-0.79%
2012-01-12|0.125|0.00%
2012-01-13|0.125|0.00%
2012-01-16|0.125|0.00%
2012-01-17|0.126|0.80%
2012-01-18|0.127|0.79%
2012-01-19|0.126|-0.79%
2012-01-20|0.125|-0.79%
2012-01-23|0.125|0.00%
2012-01-24|0.125|0.00%
2012-01-25|0.125|0.00%
2012-01-26|0.125|0.00%
2012-01-27|0.126|0.80%
2012-01-30|0.125|-0.79%
2012-01-31|0.125|0.00%
2012-02-01|0.126|0.80%
2012-02-02|0.126|0.00%
2012-02-03|0.123|-2.38%
2012-02-06|0.125|1.63%
2012-02-07|0.125|0.00%
2012-02-08|0.126|0.80%
2012-02-09|0.125|-0.79%
2012-02-10|0.125|0.00%
2012-02-11|0.124|-0.80%
2012-02-13|0.126|1.61%
2012-02-14|0.123|-2.38%
2012-02-15|0.115|-6.50%
